index,title,author,url,cuisine,image_url,ingredients,instructions,language,ratings,reviews,site_name,total_time,yields,calories,carbohydrateContent,proteinContent,fatContent,saturatedFatContent,cholesterolContent,sodiumContent,sugarContent,servingSize,fiberContent
171,Lemongrass Pumpkin Porridge (Tinutuan),Maggie Zhu,https://omnivorescookbook.com/lemongrass-pumpkin-porridge/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2019/08/1710_Indonesian-Pumpkin-Porridge_550.jpg,"['1/2 cup (120 grams) long grain ((or short grain rice))', '8 cups water', '1 stalk lemongrass ((or 2 stalks if you like a very strong lemongrass flavor))', '3 cups kabocha squash (, diced (the yield from half a kabocha squash)(*Footnote 1))', '1 cup sweet corn kernels', '4 cups spinach', '1 bunch of Thai basil leaves for garnish ((Optional))', 'Sambal and/or fried shallot for serving ((*Footnote 4))']","Add rice and water to cover in a large bowl. Use your hand to gently swirl a few times to rinse, discard the water. Repeat 1 to 2 times. Drain rice and transfer into an Instant Pot. Add 8 cups water. (*Footnote 2)
Cut the lemongrass into 2-inch (5-cm) stalks and pound them with the back of your knife, to bruise the stalks so they release more aroma. Add the lemongrass into the Instant Pot. Set the pressure to high and timer for 15 minutes. Once the timer is up, use quick release to reduce the pressure.
Add the diced pumpkin. Cover and cook on high pressure, for another 6 minutes. Use natural release to reduce pressure. (*Footnote 2)
Add the sweet corn kernels and turn on the saute function until bringing to a boil. Cook with the lid two-thirds of the way covered for 3 to 5 minutes, until the corn is cooked through.
Add the spinach and continue cooking for a minute. Turn off the Instant pot.
Transfer the porridge into serving bowls. Serve hot with sambal and / or fried shallot.",en-US,-1.0,,Omnivore's Cookbook,25,6 serving(s),82 kcal,17.8 g,2.6 g,0.4 g,,,85 mg,1.4 g,1 of the 8 servings,1.4 g
172,Choy Sum with Garlic Sauce,Maggie Zhu,https://omnivorescookbook.com/choy-sum-with-garlic-sauce/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2020/02/2002_Choy-Sum-With-Garlic-Sauce_550.jpg,"['1 lb (450 g) choy sum', '1 1/2 tablespoon soy sauce', '1 1/2 tablespoon Chee Hou Sauce ((or oyster sauce))', '1 1/2 tablespoon Shaoxing wine ((or dry sherry))', '1 tablespoon peanut oil', '3 cloves garlic (, minced)']","Rinse the choy sum with running tap water thoroughly to remove any dirt. Discard any leaves that are withered or yellow.
Heat a big pot of water over medium-high heat until boiling. Add the choy sum. If your pot is not big enough, you can blanch it in two batches. Cook until the choy sum turns just tender, 2 minutes or so, or you can cook it until it reaches your desired texture. Drain the boiling water and rinse the choy sum under running tap water again to stop the cooking. Drain it thoroughly and pat it dry with paper towels. Transfer it to a big serving plate and spread it in one layer.
Mix the sauce ingredients together in a small bowl.
Heat the oil in a small saucepan over medium heat until hot. Add the garlic. Stir a few times to release the fragrance, 30 seconds or so.
Pour in the sauce. Cook and stir until the alcohol evaporates and the sauce slightly thickens, 1 minute or so. Immediately pour the sauce over the plated choy sum.
Serve as a side dish.",en-US,-1.0,,Omnivore's Cookbook,20,4 serving(s),73 kcal,8 g,3.2 g,3.4 g,0.6 g,,455 mg,1.6 g,1 serving,0.1 g
173,Chinese Sauteed Potato,Maggie Zhu,https://omnivorescookbook.com/sauteed-potato/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2013/09/1807_Chinese-Sauteed-Potato_550.jpg,"['1.5 lbs (680 g) potatoes (about 2 russet potatoes), cut into 1” (1.5 cm) chunks', '2 1/4 teaspoons salt', '2 teaspoons Chinese chili flakes', '2 teaspoons cumin powder', '1/2 teaspoon ground Sichuan peppercorn powder', '2 tablespoons butter (, or vegetable oil)', '2 cloves garlic (, minced)', '2 green onion, chopped ((Optional))']","Add potatoes to a medium pot with 2 teaspoons of salt. Add water to cover potatoes, bring to a boil, and continue to boil until the potatoes just turn soft, about 5 minutes.
Rinse the potatoes with tap water to cool. Drain potatoes thoroughly and let them dry a bit. This helps crisp up the potatoes.
While boiling the potatoes, mix the chili flakes, cumin powder, ground Sichuan peppercorn powder, and the remaining 1/4 teaspoon salt in a small bowl.
Add butter to a large non-stick skillet and heat over medium-high heat. When butter has melted and stopped bubbling, spread the potatoes in a single layer. Let cook until the bottom turns golden. Flip to cook the other side until golden. Add the garlic and sprinkle with the spice mix. Cook and stir until everything is mixed well together.
Garnish with green onion, if using. Serve hot as a side.",en-US,5.0,,Omnivore's Cookbook,15,4 serving(s),105 kcal,12.4 g,1.7 g,6.1 g,3.7 g,15 mg,197 mg,0.5 g,4 g,1 g
174,Oven Roasted Green Beans with Garlic Soy Glaze,Maggie Zhu,https://omnivorescookbook.com/oven-roasted-green-beans/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1610_Oven-Roasted-Green-Beans-with-Garlic-Soy-Glaze_001.jpg,"['1 pound green beans (, trimmed)', '2 tablespoons olive oil', '1/4 teaspoon fine sea salt', '2 teaspoons olive oil', '4 cloves garlic (, sliced)', '2 tablespoons soy sauce ((or tamari for a gluten-free option))', '1 tablespoon chicken stock ((or rice wine, or water))', '1 tablespoon sugar', '1/2 teaspoon cornstarch']","Preheat oven to 230 degrees C (450 F).
Line a baking sheet with aluminum foil for easy cleanup, if needed.
Dry the green beans thoroughly with a paper towel. Spread onto the baking sheet. Pour on olive oil and sprinkle with salt. Toss to mix well. Shake the pan and use a pair of tongs to arrange the green beans into a single layer, to ensure even roasting.
Bake for 12 minutes, until browned and almost tender.
While baking the green beans, prepare the garlic sauce. Mix soy sauce, chicken stock, sugar, and cornstarch in a small bowl.
Heat the olive oil in a small saucepan over medium heat until warm. Add garlic. Stir for a minute or until fragrant. Add the soy sauce mixture. Let cook until boiling. Stir and cook until the sauce thickens.
Pour the sauce over the green beans. Toss to mix well. Place them back into the oven and let bake for another 2 to 4 minutes, until the sauce is caramelized.
Serve warm as a side dish.
You can cook these green beans ahead and store them in an airtight container in the fridge for a day. Reheat at 180 C (350 F) in the oven or microwave until warmed through.",en-US,4.75,,Omnivore's Cookbook,25,2 serving(s),161 kcal,19.2 g,3.6 g,9.5 g,1.4 g,,544 mg,7.6 g,182 g,5.3 g
175,Chinese Fish En Papillote (Paper wrapped fish in sesame ginger sauce),Maggie Zhu,https://omnivorescookbook.com/chinese-fish-en-papillote/,Chinese inspired,https://omnivorescookbook.com/wp-content/uploads/2021/01/201211_Chinese-Fish-En-Papillote_550.jpg,"['1 (6 oz / 170 g) cod fillet ((or sea bass, or other type of white fish))', '2 to 3 stalks small heads of Chinese broccoli (or baby bok choy, or yu choy, cut into about 8” (20 cm) pieces)', '4 sprigs cilantro', '1 tablespoon toasted sesame oil', '1 ” (2.5 cm) ginger (, julienned)', '1 tablespoon Shaoxing wine ((or dry sherry))', '1 teaspoon soy sauce', '1/4 teaspoon sugar']","Preheat the oven to 400°F (200°C).
In a small saucepan, heat the sesame oil over low heat until it becomes fragrant, about 1 minute. Add the ginger to the pan. Cook and stir for another minute.
Add the Shaoxing wine, soy sauce, and sugar. Raise the heat to medium-low and let the mixture simmer for 1 to 2 minutes. Remove the pan from the heat and set aside.
Cut a piece of parchment paper that is approximately 12x15” (30x38 cm) and fold the longer side in half. Cut the folded paper into a wide half-heart shape. Unfold the paper and now it should look like a heart shape.
You will need to arrange all the ingredients on one side of the heart, leaving enough space on the edges to seal the paper - place the Chinese broccoli in the center of one half of the heart, slightly closer to the fold crease and the rounded top. Drizzle half of the sauce and ginger over the Chinese broccoli.
Lay the fish on top of the Chinese broccoli. Drizzle the remaining sauce and ginger over the fish. Place the sprigs of cilantro on both sides of the fish.
Fold the other half of the heart over the fish side. Starting at the top of the heart where it is rounded into a point, begin folding 1” (2.5 cm) sections towards the center of the package, pressing down well with each fold to seal it.
Once the package is completely sealed, place it onto a baking tray. Bake for 12 minutes.
Remove the baking tray from the oven and let it rest until the parcel cools off a bit, 1 to 2 minutes.
Move the parcel to a large serving plate. Cut open the center of the parcel with a clean pair of scissors or a sharp knife. Serve immediately.",en-US,5.0,,Omnivore's Cookbook,22,1 serving(s),334 kcal,19.5 g,31.4 g,15.7 g,2.3 g,62 mg,686 mg,8.3 g,1 g,5 g
176,15-Minute Garlic Noodles,Maggie Zhu,https://omnivorescookbook.com/garlic-noodles/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/07/1807_Chinese-Garlic-Noodles_800.jpg,"['6 oz chow mein noodles ((*Footnote 1))', '3 to 4 tablespoons peanut oil', '4 green onions (, chopped, white and green parts separated)', '4 cloves garlic (, minced)', '2 teaspoon ginger (, minced)', '1 bell pepper (, thinly sliced (Optional))', '1/4 cup chicken broth', '2 tablespoons Shaoxing wine (, or dry sherry)', '2 tablespoons oyster sauce', '1 tablespoon soy sauce', '1/2 teaspoon sesame oil']","Combine all the sauce ingredients in a small bowl and mix well.
Boil the noodles according to the package instructions until al-dente. Rinse with running tap water to stop cooking. Drain and set aside.
Heat 3 tablespoons oil in a wok or nonstick skillet over high heat until hot. Swirl to coat the bottom of the pan with oil. Add the noodles. Toss with a pair of tongs until the edges are lightly charred. Add a bit more oil and use a wok spatula to scoop to loosen the noodles if the noodles stuck to the pan.
Add the white part of the green onions, along with the garlic and ginger. Cook and stir for a few seconds to release the fragrance.
(Optional) Add the bell pepper. Cook and stir for a minute or so, until the pepper just starts to turn tender.
Pour in the sauce. Quickly toss the noodles until the sauce is absorbed. Add the green part of the green onions. Transfer the noodles to serving plates.
Serve hot as a main or side.",en-US,4.88,,Omnivore's Cookbook,15,3 serving(s),426 kcal,45.9 g,8 g,24.7 g,5.5 g,,908 mg,2.7 g,3 g,3.4 g
177,Chinese Yellow Chives and Eggs Stir Fry (韭黄炒鸡蛋),Maggie Zhu,https://omnivorescookbook.com/yellow-chives-eggs/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2019/08/1404_Chinese-Yellow-Chives-And-Eggs-Stir-Fry_800.jpg,"['1 small batch (14 oz./400g) Chinese yellow chives', '4 large eggs (, beaten)', '1 1/2 tablespoon peanut oil ((or vegetable oil))', '1/2 teaspoon salt']","Rinse the yellow chives with running tap water. Use your fingers to gently wash them in small batches to remove any dirt. During this process, snip off any withered ends and peel off any parts that do not look fresh and discard them. Once done, drain the chives. Chop about 2 inches from the bottom (the white part is usually tougand discard it. Chop the rest of the chives into 2-inch pieces and set them aside.
Heat 1/2 tablespoon of oil in a large 12” nonstick frying pan over medium-high heat until warm. Add the beaten eggs. Let cook until the bottom sets. Stir them with your spatula and chop them into smaller bits, like you’re cooking scrambled eggs. Once the eggs are just cooked, remove the pan from the stove immediately and transfer the eggs to a plate.
Add the remaining 1 tablespoon oil. When the oil just starts to smoke, add the yellow chives. Quickly stir a few times to coat the chives evenly with oil. When the chives start to turn tender, add back the eggs and sprinkle salt over everything evenly. Stir and cook until the chives turn tender and the volume reduces. Remove the pan from the stove and taste the chives. If the chive are still tough, you can return them to the stove and cook them a bit longer. The chives will start to release water when they turn very tender and it won’t affect the taste. Once done, transfer everything to a plate.
Serve hot immediately over steamed rice.",en-US,-1.0,,Omnivore's Cookbook,15,2 serving(s),146 kcal,4.7 g,9.5 g,10.8 g,2.6 g,186 mg,364 mg,2.2 g,4 g,2.5 g
178,The Best Chinese Coleslaw,Maggie Zhu,https://omnivorescookbook.com/chinese-coleslaw/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/08/1808_Chinese-Coleslaw_800.jpg,"['4 cups sliced purple cabbage ((about 1/4 head, or 4 cups coleslaw mix))', '1 carrot (, sliced into strips)', '1 green onion (, sliced)', '1/3 cup toasted peanuts (, coarsely chopped)', '2 tablespoons cilantro (, minced)', '1 tablespoon peanut oil ((or vegetable oil))', '2 tablespoons Chinkiang vinegar', '1 tablespoon soy sauce', '1 tablespoon honey', '2 teaspoons sesame oil', '2 cloves garlic (, minced)', '1/4 teaspoon salt']","Whisk all the dressing ingredients together in a small bowl.
Combine the purple cabbage, carrot, green onion, peanuts, and cilantro in a big bowl. Pour in the dressing and toss with a pair of tongs to mix well. You can serve it now or store it covered in the fridge until serving time, up to 2 days.",en-US,4.67,,Omnivore's Cookbook,10,4 serving(s),174 kcal,13.9 g,4.8 g,11.8 g,1.7 g,,387 mg,5.7 g,4 g,3.6 g
179,Easy Oyster Mushroom Stir-Fry,Omnivore's Cookbook,https://omnivorescookbook.com/easy-oyster-mushroom-stir-fry/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2014/02/Easy-Mushroom-Stir-Fry-3-550.jpg,"['360 grams (13 ounces) oyster mushrooms (, tough ends removed and cut into bite sized pieces)', '1 tablespoon vegetable oil', '2 cloves garlic (, chopped)', '1/2 teaspoon sugar', '1/4 teaspoon salt', '2 teaspoons light soy sauce', 'cilantro for garnish (, chopped (Optional))']","Bring a pot of water to a boil. Add mushrooms. After 20 seconds, iImmediately remove mushrooms with a colander or slotted spoon and drain (you don't need to dry the mushrooms).
Heat a nonstick skillet over medium high heat until hot, about 1 minute. Add vegetable oil and heat for about 1 minute. Add garlic and stir until fragrant, about 30 seconds. Add mushrooms, give it a stir, then spread sugar on top. Keep stirring mushrooms for about 1 minute 30 seconds, until the edges turn slightly golden. Sprinkle salt and pour soy sauce over mushrooms. Quickly stir for another minute, until the soy sauce is absorbed evenly. Stop heat and transfer mushroom to a plate.
Garnish with cilantro and serve warm.",en-US,4.5,,Omnivore's Cookbook,15,1 serving(s),,,,,,,,,,
180,Chinese Grilled Potato,Maggie Zhu,https://omnivorescookbook.com/chinese-grilled-potato/,Chinese,https://omnivorescookbook.com/wp-content/uploads/2018/01/1607_Chinese-Grilled-Potato_001.jpg,"['1 large russet potato (, cut to 4-mm (1/8-inch) slices)', '2 to 3 tablespoons vegetable oil', 'Sea salt to taste', '2 teaspoon cumin powder ((or to taste))', '1 teaspoon cayenne powder ((or paprika powder for less spiciness))', '2 tablespoons butter ((Optional))']","Spread potato slices on a large tray and drizzle with olive oil. Use a pair of tongs to toss potatoes to ensure both sides are coated with oil.
Season with salt and generously sprinkle with cumin powder and cayenne powder.
Heat up the grill to build a modified two zone fire. Place the potato slices directly on the fire. Cook until both sides are charred and the inside is cooked through. If the potato slice is still a bit tough, move it to indirect heat and let it cook until tender. Sprinkle with another layer of cumin powder and place a small chunk of butter on top (optional). Leave slices on the grill until the butter is melted.
Transfer to a plate and serve warm.",en-US,5.0,,Omnivore's Cookbook,15,2 serving(s),,,,,,,,,,
